"","ID","Species","Year","Author","Location","Latitude","Longitude","Data_source_type"
"99","LPD 7353","Neovison vison",1970,"{Jiménez, 1996 #2912}","Teruel and Castellon provinces, eastern Spain",40.66667,"-0.66667","Journal"
"100","LPD 6952","Larus fuscus",1970,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"101","LPD 6929","Falco tinnunculus",1970,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"102","LPD 6927","Plegadis falcinellus",1970,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"103","LPD 6902","Thalasseus sandvicensis",1970,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"104","LPD 6758","Streptopelia decaocto",1970,"{Galewski, 2008 #2921}","Delta del Llobregat, Catalunya, Spain",41.31667,"2.15","Secondary source"
"105","LPD 1801","Puffinus mauretanicus",1970,"{Birdlife International, 2005 #1132}","Spain Mediterranean",38.54472,"-0.09611","Unknown"
"106","LPD 1772","Gulosus aristotelis",1970,"{Birdlife International, 2005 #1132}","Spain Mediterranean",38.54472,"-0.09611","Unknown"
"107","LPD 1771","Gulosus aristotelis",1970,"{Birdlife International, 2005 #1132}","Spain Atlantic",43.59889,"-5.89611","Unknown"
"108","LPD 1702","Larus audouinii",1970,"{Birdlife International, 2005 #1132}","Spain Mediterranean",38.54472,"-0.09611","Unknown"
"109","LPD 1693","Hydrobates pelagicus",1970,"{Birdlife International, 2005 #1132}","Spain Atlantic",43.59889,"-5.89611","Unknown"
"110","LPD 1690","Hydrobates pelagicus",1970,"{Birdlife International, 2005 #1132}","Spain Mediterranean",38.54472,"-0.09611","Unknown"
"111","LPD 1631","Calonectris diomedea",1970,"{Birdlife International, 2005 #1132}","Spain Mediterranean",38.54472,"-0.09611","Unknown"
"112","LPD 7353","Neovison vison",1971,"{Jiménez, 1996 #2912}","Teruel and Castellon provinces, eastern Spain",40.66667,"-0.66667","Journal"
"113","LPD 6952","Larus fuscus",1971,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"114","LPD 6929","Falco tinnunculus",1971,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"115","LPD 6927","Plegadis falcinellus",1971,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"116","LPD 6902","Thalasseus sandvicensis",1971,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"117","LPD 1208","Anser anser",1971,"{Scott, 1996 #95}","SW Spain",38.54833,"-5.23","Secondary source"
"118","LPD 10833","Capra pyrenaica",1972,"{Escós, 2008 #2538}","Tejeda-Almijara, Andalusia, southern Spain",36.83333,"-3.86667","Journal"
"119","LPD 9126","Physeter catodon",1972,"{Vieira, 2009 #2079}","Islands of the Azores Archipelago",37.96667,"-27.21667","Journal"
"120","LPD 7365","Phoenicopterus roseus",1972,"{Childress, 2007-2008 #2236} updated with {Rendón-Martos, 2009 #4375}","Fuente de Piedra, Spain",37.11667,"-4.78333","Journal"
"121","LPD 7353","Neovison vison",1972,"{Jiménez, 1996 #2912}","Teruel and Castellon provinces, eastern Spain",40.66667,"-0.66667","Journal"
"122","LPD 7195","Fulica atra",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"123","LPD 7192","Aythya fuligula",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"124","LPD 7191","Aythya ferina",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"125","LPD 7190","Netta rufina",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"126","LPD 7189","Spatula clypeata",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"127","LPD 7188","Anas acuta",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"128","LPD 7187","Anas platyrhynchos",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"129","LPD 7186","Anas crecca",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"130","LPD 7185","Mareca strepera",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"131","LPD 7184","Mareca penelope",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"132","LPD 7183","Tadorna tadorna",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"133","LPD 7182","Anser anser",1972,"{Galewski, 2008 #2921}","Delta del Ebro, Spain",40.71028,"0.84417","Unpublished report"
"134","LPD 7069","Spatula clypeata",1972,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"135","LPD 7068","Anas platyrhynchos",1972,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"136","LPD 7067","Anas crecca",1972,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"137","LPD 7066","Mareca penelope",1972,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"138","LPD 7065","Anser fabalis",1972,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"139","LPD 7064","Anser anser",1972,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"140","LPD 6952","Larus fuscus",1972,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"141","LPD 6929","Falco tinnunculus",1972,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"142","LPD 6927","Plegadis falcinellus",1972,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
